timestamp,author_channel_id,display_name,message_text,message_type,super_chat_amount,video_offset_sec
2026-04-26T13:48:43.982Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,Hello chat <3,textMessageEvent,,152.033
2026-04-26T13:49:33.849Z,UCyWNfPMPlACxGrPCwHVxgLg,@nikolavujic3856,someone flex eune?,textMessageEvent,,201.579
2026-04-26T13:51:24.001Z,UCClffJSVBarCYv2iQibwwog,@peng_yang,lmao,textMessageEvent,,311.765
2026-04-26T13:51:45.145Z,UCBXkYxF5OOA2afM5u_B_zfg,@Switchioh,IM FROM JAPAN,textMessageEvent,,333.035
2026-04-26T13:52:18.899Z,UCe3aQ3wQqQLN_jbOtKp-V0w,@BryIMG98,hi,textMessageEvent,,366.765
2026-04-26T13:53:14.852Z,UCmW3gDe4GQrDfr0ip92w-DA,@Allex7,can fanatic still make playoffs if they lose today ?,textMessageEvent,,422.678
2026-04-26T13:54:40.205Z,UCLKGLk8FGFRikcX11_EcgTQ,@Quietics,LEC!,textMessageEvent,,507.916
2026-04-26T13:56:11.806Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,599.678
2026-04-26T13:56:35.946Z,UCLKGLk8FGFRikcX11_EcgTQ,@Quietics,NAVI and KC are my picks for today's matches. :D,textMessageEvent,,623.699
2026-04-26T14:03:42.920Z,UCxdTSEJCCCqdWpaLyb645iw,@3rdBuzz,yeah pretty obvious favorites today,textMessageEvent,,1050.683
2026-04-26T14:04:41.036Z,UCWC9OQlZ2G8QSflXamtRQJA,@parad0x_223,hi chat!!,textMessageEvent,,1108.926
2026-04-26T14:04:57.679Z,UCAHkJ-NHG9YiLWLQd0BdWQQ,@r-g-s-s23,KC vs. FNC lmao,textMessageEvent,,1125.547
2026-04-26T14:07:07.263Z,UC6sXuGtNWQtUFKP7tOeEKWQ,@seanjug,!casters,textMessageEvent,,1255.111
2026-04-26T14:07:13.791Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Medic is your host for today! Dagda and Finn are on the analyst desk. Laure is your interviewers. Your casters will be Hysterics and Vedius.,textMessageEvent,,1261.637
2026-04-26T14:07:14.146Z,UCqFWkV42MI1YjbaBGb6eNvA,@kultissim,vladi will go ham,textMessageEvent,,1261.96
2026-04-26T14:07:59.745Z,UC2TViDabpTmxwYCNbOntgqw,@LydiaNewts,omg love this song,textMessageEvent,,1307.671
2026-04-26T14:08:07.771Z,UCXqOfa7BCzWjaVxYBUuGlMQ,@therosecats5298,I believe but I gotta have an ice bucket next to me to dunk into whenever I start getting to delusional,textMessageEvent,,1315.483
2026-04-26T14:08:09.384Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,1317.135
2026-04-26T14:09:08.038Z,UCN7PJMq4qZpe1jT2quLXzVw,@Valorios,can't wait for KC vs FNC. this will be brutal,textMessageEvent,,1375.798
2026-04-26T14:16:02.232Z,UCaapXnwG-PmgUHAipXICjRA,@sigladon,meow,textMessageEvent,,1790.195
2026-04-26T14:16:25.723Z,UCaapXnwG-PmgUHAipXICjRA,@sigladon,"there is no way Fnatic win today, right?",textMessageEvent,,1813.501
2026-04-26T14:16:31.531Z,UCrbPw5nrukzkMyfSsV7oL0Q,@FSL..,Never thought I'd say this at the beginning of this weekend but today can be 2-1 2-1 actually,textMessageEvent,,1819.208
2026-04-26T14:16:49.965Z,UCWC9OQlZ2G8QSflXamtRQJA,@parad0x_223,after yesterday kekw @FSL.. ,textMessageEvent,,1837.831
2026-04-26T14:16:53.667Z,UCaapXnwG-PmgUHAipXICjRA,@sigladon,how did shifters win a game to KC?,textMessageEvent,,1841.447
2026-04-26T14:16:54.352Z,UCrbPw5nrukzkMyfSsV7oL0Q,@FSL..,SHFT have nothing to lose left and Nuc played yesterday very well,textMessageEvent,,1842.134
2026-04-26T14:17:07.807Z,UCrbPw5nrukzkMyfSsV7oL0Q,@FSL..,Nuc on Anivia was insane,textMessageEvent,,1855.626
2026-04-26T14:17:17.105Z,UCrbPw5nrukzkMyfSsV7oL0Q,@FSL..,Paduck had a good game too for once,textMessageEvent,,1864.946
2026-04-26T14:17:27.867Z,UCaapXnwG-PmgUHAipXICjRA,@sigladon,nice,textMessageEvent,,1875.594
2026-04-26T14:17:38.293Z,UCrbPw5nrukzkMyfSsV7oL0Q,@FSL..,Last game it felt like Nuc alone on Cassio though,textMessageEvent,,1886.125
